Figure S4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Bangladesh,Bulgaria,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Mexico,Myanmar,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Saudi Arabia,Slovakia,Sweden,Thailand,Trinidad and Tobago,Turkey,Uruguay,United States,Venezuela,Vietnam
Total Milk,96.60273973,18.4109589,56.02739726,48,38.10958904,48.98630137,8.109589041,126.4657534,276.1369863,103.0410959,53.06849315,54.05479452,9.479452055,27.97260274,37.75342466,56.38356164,294.2739726,48.60273973,92.21917808,112.5205479,162.4931507,18.76712329,398.5205479,252.4931507,14.1369863,125.8630137,147.2328767,16.30136986,38.35616438,103.9178082,69.78082192,12.71232877,196.3835616,64.2739726,65.7260274,163.8082192,27.31506849,97.97260274,413.7808219,456.2739726,380.3287671,638.2739726,700.6575342,37.97260274,403.9452055,66.71232877,253.1506849,763.7260274,593.7260274,930.8767123,13.75342466,264.9041096,365.6164384,604.2739726,388.9315068,627.4520548,172.8493151,415.4794521,732.1917808,636.4109589,619.5342466,352.5479452,481.6986301,11.34246575,143.9726027,767.2328767,163.9726027,148.5479452,725.6438356,178.3835616,213.8082192,5.287671233,52.84931507,280.739726,2.328767123,302.1369863,77.31506849,265.7808219,33.09589041,286.9041096,113.8356164,862.4931507,752.2465753,309.6164384,117.5068493,56.35616438,417.2876712,151.6438356,396.6027397,269.6712329,372.630137,958.9315068,39.80821918,257.3150685,396.6575342,437.6164384,703.2876712,235.260274,3.616438356
Fruits,76.52054795,90.87671233,19.17808219,113.3972603,37.01369863,301.5616438,76.93150685,22.30136986,91.31506849,264.9315068,10.24657534,70.43835616,60.90410959,102.739726,8.95890411,77.45205479,153.0958904,60.10958904,141.6986301,185.4520548,53.39726027,71.06849315,16.65753425,59.26027397,78.30136986,65.94520548,16.71232877,81.26027397,999.0410959,38.95890411,43.34246575,31.89041096,170.5205479,85.69863014,107.3972603,109.260274,32.93150685,34.65753425,87.56164384,172.739726,403.890411,255.5342466,383.1780822,41.15068493,223.0958904,158.9041096,269.2328767,396.4657534,309.7808219,351.4246575,38.24657534,80.32876712,225.1780822,321.1506849,835.1506849,210.3287671,243.5342466,319.1506849,221.7808219,213.3424658,453.6164384,450.4657534,179.5890411,116.109589,119.1506849,210.1917808,297.5890411,172.6849315,224.4657534,198.3561644,131.5890411,84.82191781,128.6849315,132.8219178,125.7808219,507.3972603,256.8219178,242.7123288,56.87671233,12.87671233,193.6438356,389.2328767,272.6849315,162.1917808,79.15068493,321.0958904,277.9726027,285.2328767,158.8493151,251.0684932,139.890411,266.9041096,372.2465753,163.7808219,323.9726027,149.6712329,325.260274,242.5479452,134.6027397
Refined Grains,481.2971487,534.2569649,213.1701829,285.0353746,436.9075978,300.3198215,873.122152,160.1224984,375.1596969,402.9272544,243.2165271,415.5087897,424.7906269,346.6769825,268.10345,139.7821348,361.6301817,371.9137498,283.8466566,518.624814,247.6136902,441.5522102,251.2109208,222.217075,338.2081918,273.6378051,544.6320453,296.0493521,141.915164,360.3287397,201.6957638,561.9761728,513.2282626,848.6719056,460.4910116,150.3168588,424.4533512,425.1121109,504.0815886,324.7746005,201.7238002,140.9452759,112.4119463,215.4250879,342.8034823,286.6698329,362.6623191,379.818238,160.1892405,186.677395,322.8253358,267.7189306,258.5629729,190.9340766,241.8240979,72.79777548,150.2962016,223.8318306,237.9973842,179.1434116,166.5399924,179.2712224,174.8362443,339.2591767,204.0990881,271.7707389,436.489447,577.0147352,124.7018952,401.3826835,239.0072195,203.3248591,285.2627926,231.8068472,233.4492615,197.8412347,251.6996019,438.0144972,135.6948554,235.0301282,240.4503751,96.87729483,101.768428,319.5448404,246.5533655,249.9291644,256.4998063,551.3704844,466.0908009,335.4141345,179.0914978,116.2786403,159.5640327,244.4195848,671.2938367,318.2106936,240.11933,310.5496666,165.0452841
Whole Grains,44.30983762,48.83632281,129.4161185,302.567776,25.22034741,121.354836,80.65757404,57.95777555,184.4730428,197.9501429,4.809089361,35.30203223,52.01498953,81.48794897,26.72682395,88.07074192,14.83995529,149.508031,422.5962202,38.08861061,70.08685773,410.1175158,17.60264084,68.85224008,111.504137,31.75945518,11.63535192,225.4873603,7.81100042,13.80057534,86.99163347,35.61862177,81.13858673,45.08658759,21.37118015,309.9314974,212.1917173,10.95939592,46.88060318,17.440331,18.23222718,85.38828576,128.3939441,3.715323097,141.5173396,24.97359176,9.233160328,161.0735428,76.58856772,96.9580845,4.770280658,20.70271323,26.53825996,60.26222477,33.24302535,178.9805807,4.244483335,48.1076215,55.75699937,71.26179388,241.5632953,14.88864057,163.0870433,18.0556178,56.30748721,89.86665835,47.16479959,11.75211411,100.5331733,21.03416586,2.501547577,1.73226418,7.663234792,11.24890625,0.197176832,88.04602555,10.05300087,23.5723521,0.761035006,113.5672691,4.066885126,83.57092434,207.2973255,66.09940614,19.2255386,25.95782193,54.70786497,115.6036252,7.837007331,17.23476963,142.1086392,99.41601727,1.742405673,60.78192202,10.83999892,34.50026527,43.88614947,19.40060732,2.011154232
Nuts And Seeds,2.849315068,19.56164384,28.46575342,23.50684932,16.90410959,21.42465753,20.46575342,0.684931507,1.315068493,3.205479452,9.287671233,27.97260274,8.164383562,4.794520548,20.38356164,15.5890411,2.054794521,0.02739726,6.082191781,1.643835616,8,7.342465753,4.602739726,6.273972603,3.753424658,1.479452055,4,8.684931507,1.068493151,17.91780822,32.49315068,11.97260274,16.73972603,3.178082192,20.65753425,1.835616438,4.547945205,19.36986301,3.178082192,2.273972603,2.95890411,16.08219178,32.35616438,0.767123288,17.28767123,15.61643836,3.178082192,24.49315068,25.20547945,26.84931507,4.849315068,3.643835616,1.863013699,22.24657534,5.726027397,15.42465753,2.493150685,28.79452055,19.34246575,16.76712329,31.39726027,6.082191781,8.356164384,12.90410959,3.150684932,8.136986301,10.57534247,4.520547945,16.65753425,10.68493151,9.753424658,2.465753425,7.643835616,14,2.493150685,3.643835616,2,5.342465753,6.438356164,0,7.150684932,13.53424658,16,2.821917808,2.383561644,7.863013699,13.39726027,9.123287671,4.95890411,5.589041096,11.8630137,13.36986301,5.643835616,4.547945205,20.32876712,3.479452055,22.35616438,1.342465753,2.684931507
Total Processed Meats,22.77010927,17.01826377,9.541328705,26.41209392,2.459102583,14.74984444,3.992025017,7.070138548,17.79699314,14.94313679,1.475861618,57.28288,5.511956451,8.485406008,6.781202636,15.11199158,16.00302349,25.49651874,3.830143376,17.11066098,20.30411343,5.396930918,55.02303393,30.74295612,6.505710568,24.0639543,19.33064223,6.904063485,4.299158761,10.48236331,8.696149496,2.497530272,28.990049,9.116001668,9.885251933,29.47381057,26.38226748,20.08341272,29.6292533,48.66099224,139.6385539,78.46495333,110.0373335,0.396226593,68.26439981,13.5981102,49.86227611,95.1917623,94.47323189,76.69600027,2.915890481,46.13156969,23.62811038,166.2213897,42.98692801,111.9438227,30.40478002,103.3399206,120.9522913,97.96286003,13.83758818,28.41423101,126.574591,14.75520627,4.454262101,139.1089489,15.54737609,20.84825889,57.8532017,26.30176396,15.23435073,10.64886494,2.910272337,55.58192291,11.41195594,31.98285347,1.068372412,30.41046758,3.828844881,181.0403271,50.53404278,86.55417408,37.40953649,4.96334893,9.468787008,34.8742621,40.86829697,27.0657142,97.39759894,77.04309988,130.8956559,56.62791712,13.05130416,31.9649893,4.696262539,73.23294413,132.0752486,41.59517725,6.40117206
Unprocessed Red Meats,21.61345237,14.48858555,33.93812335,53.28653621,56.88336317,31.00358022,33.29564622,35.4504094,34.1756096,34.67330156,34.63372742,80.49794192,26.21407095,6.583087143,18.42427682,28.77841938,29.4490313,32.14731688,54.33424019,52.31399656,45.69588657,9.781151274,43.77148661,57.94197538,7.028536007,68.67577173,36.50497421,16.98634747,9.180293294,29.18886956,44.53672722,21.96822315,29.85926607,25.8702997,28.16954259,93.70427162,17.75471882,24.71110783,28.12417136,207.3116105,118.8819941,279.0966905,211.8530775,9.165417242,143.4890248,113.4155884,94.74046361,477.3013884,181.4171791,177.961534,68.42657527,64.82733442,112.3718896,128.9566925,116.7938939,213.1794649,55.95138436,175.4819972,187.5682567,123.516592,196.2993981,86.87344022,229.3980117,11.73794441,8.395052967,150.2883114,44.37043213,39.37091919,142.3385791,56.16398946,101.6149643,29.65250492,73.66507013,51.32218668,23.05379748,163.7979684,9.397381013,86.30186118,10.91088115,121.8363852,62.17828599,174.5691136,118.5904635,34.59829491,42.66819929,20.65998447,164.0358126,150.9342858,134.7941819,50.29936588,76.11804275,121.8926308,54.94869584,63.54186001,59.02976486,145.2602066,189.3220117,72.10345288,41.81800602
Fish,53.01369863,18.79452055,4.684931507,13.91780822,51.42465753,31.06849315,91.01369863,2.191780822,9.287671233,23.04109589,0.246575342,86.08219178,72.57534247,25.45205479,44.95890411,9.04109589,20.4109589,0.054794521,20.46575342,21.78082192,25.01369863,7.205479452,18.38356164,46.57534247,21.50684932,26.93150685,1.616438356,29.31506849,1.068493151,74.63013699,11.42465753,36.73972603,23.8630137,44.21917808,37.67123288,26.32876712,23.04109589,6.767123288,5.452054795,15.01369863,74,41.45205479,24.46575342,20.49315068,8.575342466,3.068493151,14.38356164,148.8219178,47.56164384,30,20.76712329,7.753424658,47.01369863,34.02739726,58.84931507,49.01369863,21.09589041,60.05479452,56.82191781,41.80821918,44.16438356,93.34246575,12.19178082,37.8630137,9.643835616,36.19178082,10.21917808,3.780821918,95.75342466,8.109589041,131.6438356,29.94520548,80.52054795,6.739726027,18.08219178,46.63013699,40.87671233,28.05479452,41.23287671,2.465753425,108.3561644,16.82191781,93.04109589,5.369863014,68.21917808,84.32876712,150.3835616,8.410958904,14.84931507,14.30136986,18.76712329,60.57534247,39.8630137,31.39726027,15.89041096,13.26027397,41.69863014,29.01369863,31.64383562
Shellfish,0.164383562,3.97260274,0,0,0.493150685,0,0.191780822,0.246575342,0.328767123,0.273972603,0,1.205479452,0.931506849,0,13.42465753,1.808219178,0.082191781,0,0.493150685,0.95890411,0,0.95890411,0.849315068,3.506849315,0,1.01369863,0,0.301369863,0,1.671232877,0,0.054794521,0.95890411,0.109589041,0,0.98630137,0,0.02739726,0.547945205,1.369863014,12.05479452,13.17808219,1.01369863,0.246575342,1.726027397,0.054794521,1.479452055,6.301369863,17.47945205,8.95890411,7.890410959,0.301369863,2.246575342,3.890410959,0.082191781,13.23287671,2.383561644,36.38356164,29.80821918,8.739726027,11.64383562,0.219178082,0.02739726,3.068493151,0.602739726,5.232876712,0.520547945,0,151.8630137,0,65.34246575,3.342465753,49.83561644,6.410958904,0,4.410958904,0.657534247,5.753424658,0.301369863,0,21.89041096,12.57534247,29.45205479,0.356164384,6.849315068,13.28767123,12.84931507,0.054794521,0.219178082,0.767123288,0,14.79452055,14.93150685,1.917808219,1.178082192,0.712328767,18.30136986,6.547945205,3.095890411
Eggs,1.04109589,2.849315068,6.767123288,1.123287671,2.438356164,2.191780822,0.931506849,2.02739726,13.31506849,5.808219178,3.452054795,4.219178082,1.479452055,3.01369863,2.109589041,1.068493151,4.164383562,1.342465753,16.60273973,2.493150685,2.493150685,0.054794521,4.657534247,8.904109589,3.643835616,2.246575342,1.561643836,8.931506849,0.602739726,3.287671233,1.178082192,2.98630137,14.2739726,3.04109589,1.780821918,11.7260274,7.342465753,3.561643836,12.08219178,22.05479452,10.08219178,26.52054795,38.52054795,1.753424658,37.17808219,16.76712329,20.1369863,27.78082192,29.15068493,30.93150685,16.93150685,15.39726027,28.35616438,39.06849315,4.98630137,38.60273973,11.23287671,44.54794521,40.16438356,29.09589041,30,23.12328767,61.69863014,5.97260274,3.123287671,21.7260274,12.24657534,10.98630137,25.61643836,18.90410959,51.94520548,3.123287671,23.06849315,17.12328767,2.191780822,6.520547945,6.712328767,27.78082192,2.136986301,2.273972603,34.57534247,32.02739726,29.91780822,4.739726027,9.506849315,8.191780822,18.84931507,20.2739726,33.78082192,13.78082192,45.17808219,35.06849315,27.69863014,5.589041096,17.12328767,16.95890411,36.79452055,11.97260274,3.232876712
Total Salt,8.005258976,5.854497115,6.928377709,6.585070688,9.660914893,6.698644632,5.265922176,5.72992913,7.047761194,6.695777017,9.82332854,2.721979749,5.658894086,6.149603872,5.771720342,6.857656937,5.256855955,6.50950064,4.570892264,5.243019005,7.416563874,9.270166748,2.278035731,7.249834671,6.024321753,6.627902707,6.452957004,6.528060947,9.815479553,6.24012285,6.027278076,5.587584154,8.025613724,5.979200993,5.787685471,8.497577844,8.928777147,5.85085165,8.005258976,4.152597047,5.967647115,6.669227709,7.777526221,9.971164893,6.687694632,5.280522176,7.574315973,5.92702913,7.168211194,6.808927017,9.84887854,2.725629749,5.677144086,6.299253872,6.523620342,7.003656937,5.366355955,6.682299498,7.271789537,6.34890064,4.315392264,5.819719005,9.372366748,2.529885731,6.910384671,6.093671753,6.708202707,6.244907004,6.506160947,9.921329553,9.762081573,6.24012285,10.75279263,8.28821093,12.32483595,6.567478076,6.470884154,6.106950993,5.776735471,8.884977147,6.12825165,4.946921538,7.364269057,6.468191876,5.759999084,4.47803899,8.950273041,4.892874389,9.642122144,7.426413166,7.095350802,8.286904722,10.29960532,5.03177434,6.219654192,6.363053715,8.161346405,5.865115761,3.245703795
Added Sugars,32.54794521,8.246575342,9.534246575,19.69863014,28.43835616,18.08219178,26.49315068,83.42465753,79.23287671,86.60273973,9.342465753,52.24657534,16.10958904,24.65753425,127.7808219,5.616438356,58.08219178,46.84931507,85.31506849,22.16438356,25.31506849,9.863013699,75.80821918,122.2191781,36.35616438,92.60273973,15.28767123,12.49315068,4.602739726,44.46575342,24.02739726,12.10958904,77.80821918,12.24657534,8.602739726,100.4657534,46.54794521,57.47945205,49.89041096,115.1506849,90.38356164,136.7671233,119.8356164,22.35616438,78.68493151,81.06849315,132.2739726,284.8767123,116.8767123,139.7260274,18.73972603,172.7123288,162.8219178,96.46575342,131.7260274,122.2739726,76.10958904,76.1369863,98.73972603,113.890411,87.28767123,120.2465753,118.7123288,38.52054795,56,130.109589,71.5890411,71.91780822,152.7671233,115.8356164,93.50684932,6.356164384,88.24657534,78.93150685,5.97260274,102.0547945,51.61643836,141.3972603,21.23287671,64.95890411,102.3287671,154.8767123,113.0684932,79.42465753,69.97260274,74.71232877,75.7260274,60.1369863,69.78082192,74.32876712,116.6849315,118.1917808,52.02739726,147.3972603,89.20547945,69.12328767,173.2876712,104.7671233,13.80821918
Non-Starchy Vegetables,80.16438356,122.9863014,64.76712329,101.7534247,151.1506849,203.1506849,121.9178082,168.739726,165.5068493,407.1232877,144.7671233,213.0410959,195.4246575,291.8356164,86.10958904,174.5479452,74.16438356,76.84931507,291.260274,85.53424658,161.4520548,37.8630137,22.79452055,118.6849315,68.68493151,387.6438356,101.1780822,176.3835616,78.76712329,74.52054795,40.95890411,127.5068493,476.7671233,114.7671233,58.4109589,126.8767123,85.50684932,36.21917808,220.3287671,200.630137,198.9041096,238.8767123,191.6986301,35.28767123,351.5890411,158.8767123,94.65753425,240.5479452,322.8767123,250.4383562,275.2054795,110.5479452,121.2876712,202.3287671,337.2328767,192.7123288,74.43835616,589.3424658,348.7945205,242.0547945,739.6986301,130.2465753,272.3013699,68.24657534,144.9863014,197.5342466,448.6575342,466.1369863,87.15068493,243.0958904,333.8630137,135.5890411,549.6986301,327.7534247,42.30136986,89.28767123,85.89041096,145.8082192,109.8356164,37.12328767,70.84931507,206.8219178,157.0684932,84.73972603,102,196.8767123,500.7945205,144.1917808,342.0273973,434.9863014,185.6438356,182.5205479,108.3013699,75.12328767,602.3835616,87.26027397,322.7671233,65.67123288,122.9589041
Potatoes,8.109589041,0,2.219178082,0.575342466,1.945205479,2.575342466,2.246575342,11.69863014,78.76712329,58.21917808,16.02739726,4.219178082,0.109589041,0.520547945,3.890410959,0.794520548,73.78082192,80.73972603,72.68493151,41.67123288,9.506849315,12.1369863,6.739726027,45.80821918,73.34246575,0,0.684931507,1.095890411,83.67123288,7.835616438,5.917808219,0.767123288,61.94520548,34.16438356,23.5890411,70.60273973,2.657534247,6.931506849,46.4109589,114.1643836,28.46575342,165.8082192,172,21.36986301,86.95890411,162.1917808,32.54794521,201.6986301,211.3424658,125.5890411,38.02739726,144.3561644,47.04109589,218.7945205,11.53424658,207.7534247,9.287671233,297.369863,196.9315068,289.890411,199.7260274,20.10958904,176,7.780821918,33.91780822,344.2739726,104,21.06849315,155.7260274,61.31506849,69.34246575,0,18.43835616,30.71232877,15.31506849,22.24657534,9.452054795,35.39726027,7.068493151,68.24657534,9.726027397,273.5068493,212.2739726,16.1369863,89.5890411,3.232876712,360.7945205,1.150684932,161.5890411,28.19178082,207.8630137,194.7671233,3.01369863,44.68493151,181.1506849,119.4520548,151.369863,16.63013699,12.76712329
Other Starchy Vegetables,39.34246575,304.9041096,13.78082192,209.4520548,676.5753425,170.0547945,93.06849315,0,0,4.164383562,18.16438356,524.3013699,301.369863,225.7808219,0,68.95890411,28.98630137,0,2.410958904,43.8630137,7.863013699,10.19178082,6.630136986,0.767123288,46.98630137,0,11.12328767,174.3287671,292.5753425,0.876712329,105.5068493,215.2876712,0,93.5890411,695.6164384,3.424657534,16.98630137,0.301369863,0,22.46575342,8.602739726,0.876712329,0,11.75342466,0,98.38356164,6.520547945,92.10958904,0.712328767,0.02739726,141.5890411,145.9178082,66.98630137,0,113.5342466,0.109589041,115.9178082,2.082191781,0,0,0.575342466,27.45205479,0,23.91780822,3.753424658,0,0,0,0.02739726,0,27.26027397,8.904109589,13.78082192,0.109589041,114.739726,124.109589,81.80821918,0.931506849,14.68493151,0,1.808219178,3.01369863,0,0.109589041,70.98630137,26.2739726,1.945205479,56.49315068,0,0.02739726,0,0,0,12.08219178,0,14.32876712,7.068493151,60.54794521,65.17808219
Beans And Legumes,19.83561644,21.17808219,32.52054795,12.82191781,2.356164384,13.50684932,6.739726027,12.46575342,13.67123288,21.15068493,31.56164384,0.575342466,2.246575342,21.80821918,9.01369863,5.506849315,33.83561644,25.12328767,31.09589041,8.712328767,15.94520548,19.04109589,31.06849315,25.50684932,39.69863014,28.1369863,39.64383562,26.93150685,83.47945205,4.164383562,14.1369863,13.09589041,16.54794521,44.21917808,69.94520548,9.753424658,4.821917808,11.89041096,11.78082192,2.575342466,11.26027397,17.8630137,6.164383562,16.65753425,13.91780822,9.315068493,43.20547945,40.05479452,11.78082192,4,15.34246575,19.36986301,28.24657534,4.273972603,13.61643836,2.849315068,35.12328767,14.10958904,5.479452055,16.08219178,15.20547945,21.17808219,4.301369863,13.61643836,36.16438356,9.150684932,14.35616438,14.54794521,3.150684932,20.76712329,28.68493151,3.616438356,33.89041096,25.06849315,9.178082192,17.20547945,13.39726027,36.90410959,15.69863014,3.369863014,8.657534247,5.589041096,3.01369863,21.8630137,12.10958904,4.657534247,13.47945205,29.50684932,4.493150685,9.287671233,9.97260274,4.821917808,11.61643836,35.47945205,41.91780822,6.520547945,9.068493151,15.34246575,7.808219178
